País,Total_BA_100hab,Total_BAM_100hab,DSL_100hab,cable_susc_100hab,otras_fijas_100hab,Fibre_LAN_fx_100h,Sat_fx_bb_100h,FWA_susc_100h,BAM
Australia,35.3,127.3,16.7,7.8,,8.7,0.5,1.5,110.3
Austria,29.0,114.5,15.7,10.7,0.1,2.4,,0.2,84.3
Belgium,43.4,94.6,17.5,22.9,0.1,2.1,0.0,0.7,91.4
Canada,42.6,85.1,6.4,21.1,0.2,12.0,,2.8,79.6
Chile,22.5,107.0,0.4,6.6,0.1,14.8,0.1,0.4,104.5
Colombia,17.6,78.3,1.5,10.1,0.3,4.9,0.1,0.8,77.3
Costa Rica,21.2,95.9,1.6,11.0,0.0,8.5,0.0,0.1,93.5
Czechia,37.8,103.1,9.4,5.7,0.0,7.6,0.1,14.9,100.2
Denmark,44.8,141.8,6.8,15.2,0.4,22.2,0.0,0.3,120.7
Estonia,37.1,204.1,6.6,6.2,0.2,17.6,,6.4,176.0
Finland,34.4,160.0,2.5,9.5,0.7,21.6,,,121.5
France,46.6,100.9,14.3,5.0,,26.4,,0.9,95.3
Germany,44.8,92.1,29.4,10.4,0.8,4.1,0.0,0.0,88.3
Greece,42.3,98.3,42.1,,0.0,0.2,0.0,0.0,94.2
Hungary,35.9,86.2,5.2,16.0,,13.4,0.0,1.3,79.5
Iceland,37.4,123.7,6.6,0.0,,30.7,,0.1,106.7
Ireland,31.5,116.0,12.8,7.2,,9.8,0.1,1.7,109.0
Israel,27.8,144.1,13.0,6.7,,8.1,,,144.1
Italy,31.6,96.1,5.2,,17.4,5.9,,3.0,85.4
Japan,35.7,196.5,0.4,5.1,,30.2,,0.0,106.3
Korea,45.4,120.1,0.8,4.7,,40.0,,,114.5
Latvia,25.9,117.8,4.5,0.7,0.7,19.6,0.0,0.4,96.6
Lithuania,28.6,127.7,4.0,0.6,0.1,22.6,0.0,1.2,98.0
Luxembourg,38.2,114.3,11.3,3.7,0.6,22.6,,,111.2
Mexico,19.9,87.2,3.1,7.5,0.9,8.2,0.2,0.0,86.0
Netherlands,44.1,122.6,11.6,19.4,,13.0,,,117.4
New Zealand,37.0,103.3,3.9,0.6,,25.5,0.4,6.6,97.1
Norway,45.7,102.9,0.6,9.2,0.2,31.7,0.0,3.9,97.9
Poland,24.3,132.5,3.4,7.9,1.1,9.9,0.1,1.9,109.3
Portugal,43.5,95.7,1.7,11.6,0.1,27.7,0.0,2.4,88.8
Slovak Republic,33.8,89.0,7.4,3.2,0.0,14.4,0.0,8.8,81.8
Slovenia,32.2,96.5,6.4,8.4,0.1,17.0,0.0,0.2,88.3
Spain,35.6,110.0,1.8,3.6,,29.5,0.0,0.6,107.7
Sweden,40.6,133.2,1.1,6.4,0.1,33.0,0.0,0.1,118.7
Switzerland,48.2,103.6,21.9,12.3,0.9,13.0,0.0,,94.6
Türkiye,22.3,84.0,13.1,1.7,0.8,6.7,0.0,,83.2
United Kingdom,41.3,114.6,28.7,8.0,,4.6,0.0,,106.8
United States,38.5,176.0,4.4,24.1,0.0,7.9,0.6,1.4,176.0
OECD,34.9,127.9,8.3,11.3,1.0,13.2,0.2,1.0,115.6
